Solar System,Planet,Distance (light-years),Travel Time at Speed of Light (years),Atmospheric Oxygen Content,Soil Fertility,Median Seasonal Temperatures (F),Availability of Potable Water,Suitability for Life
System416,Planet2,1354.9,1354.9,0.19,0.58,84.33,N,No
System416,Planet3,1216.93,1216.93,0.14,0.35,-7.15,N,No
System417,Planet1,11.75,11.75,0.25,0.65,-1.18,Y,No
System417,Planet2,1265.88,1265.88,0.19,0.55,30.81,Y,No
System417,Planet3,1361.19,1361.19,0.11,0.64,65.75,Y,No
System418,Planet1,1102.38,1102.38,0.27,0.68,50.15,N,No
System418,Planet2,1440.65,1440.65,0.12,0.42,51.68,N,No
System418,Planet3,953.74,953.74,0.17,0.38,11.79,N,No
System419,Planet1,26.54,26.54,0.29,0.59,93.81,Y,No
System419,Planet2,990.71,990.71,0.22,0.41,67.38,Y,No
System419,Planet3,827.19,827.19,0.26,0.46,40.48,N,No
System420,Planet1,840.98,840.98,0.14,0.74,21.8,N,No
System420,Planet2,879.07,879.07,0.22,0.73,2.79,Y,No
System420,Planet3,910.05,910.05,0.25,0.43,86.11,N,No
System421,Planet1,437.4,437.4,0.28,0.69,58.55,N,No
System421,Planet2,915.93,915.93,0.16,0.54,8.36,Y,No
System421,Planet3,1316.69,1316.69,0.26,0.35,15.24,N,No
System422,Planet1,474.76,474.76,0.16,0.3,88.01,Y,No
System422,Planet2,689.95,689.95,0.18,0.78,47.32,Y,No
System422,Planet3,426.05,426.05,0.19,0.69,64.32,Y,No
System423,Planet1,867.28,867.28,0.13,0.67,-12.91,N,No
System423,Planet2,597.52,597.52,0.27,0.62,10.84,N,No
System423,Planet3,1113.84,1113.84,0.11,0.57,-13.1,Y,No
System424,Planet1,695.66,695.66,0.24,0.74,74.08,Y,No
System424,Planet2,765.08,765.08,0.12,0.43,49.95,N,No
System424,Planet3,940.94,940.94,0.29,0.36,30.28,Y,No
System425,Planet1,428.72,428.72,0.2,0.62,47.86,Y,No
System425,Planet2,420.63,420.63,0.15,0.8,98.59,N,No
System425,Planet3,1306.43,1306.43,0.22,0.34,90.54,Y,No
System426,Planet1,98.22,98.22,0.12,0.64,-1.19,N,No
System426,Planet2,1087.04,1087.04,0.14,0.38,33.51,Y,No
System426,Planet3,215.37,215.37,0.18,0.64,-27.14,N,No
System427,Planet1,922.63,922.63,0.25,0.58,75.24,N,No
System427,Planet2,1251.44,1251.44,0.24,0.33,91.01,N,No
System427,Planet3,730.68,730.68,0.18,0.45,72.5,Y,No
System428,Planet1,1106.13,1106.13,0.22,0.54,-21.26,N,No
System428,Planet2,1413.53,1413.53,0.17,0.37,95.06,N,No
System428,Planet3,405.72,405.72,0.1,0.42,36.43,N,No
System429,Planet1,860.41,860.41,0.26,0.43,33.67,N,No
System429,Planet2,320.78,320.78,0.15,0.63,28.89,N,No
System429,Planet3,874.4,874.4,0.16,0.79,48.02,N,No
System430,Planet1,1244.96,1244.96,0.19,0.56,36.45,Y,No
System430,Planet2,1415.46,1415.46,0.11,0.71,24.76,N,No
System430,Planet3,1120.82,1120.82,0.29,0.57,85.87,Y,No
System431,Planet1,1287.32,1287.32,0.15,0.43,32.77,N,No
System431,Planet2,230.7,230.7,0.27,0.61,52.24,Y,No
System431,Planet3,1303.56,1303.56,0.27,0.51,52.62,Y,No
System432,Planet1,1469.37,1469.37,0.2,0.43,-12.36,N,No
System432,Planet2,426.53,426.53,0.12,0.5,-3.86,N,No
System432,Planet3,777.86,777.86,0.2,0.68,-24.42,Y,No
System433,Planet1,531.89,531.89,0.23,0.78,97.16,Y,No
System433,Planet2,1247.72,1247.72,0.27,0.31,70.02,Y,No
System433,Planet3,592.79,592.79,0.24,0.53,47.17,N,No
System434,Planet1,518.12,518.12,0.16,0.51,31.17,N,No
System434,Planet2,1116.43,1116.43,0.29,0.43,63.99,N,No
System434,Planet3,520.35,520.35,0.15,0.63,34.48,Y,No
System435,Planet1,271.17,271.17,0.1,0.69,-19.64,N,No
System435,Planet2,1383.76,1383.76,0.11,0.53,-7.94,N,No
System435,Planet3,22.13,22.13,0.3,0.4,34.51,N,No
System436,Planet1,723.38,723.38,0.28,0.63,50.83,Y,No
System436,Planet2,45.8,45.8,0.24,0.64,46.77,N,No
System436,Planet3,158.94,158.94,0.2,0.45,90.02,N,No
System437,Planet1,523.99,523.99,0.29,0.72,83.03,N,No
System437,Planet2,121.56,121.56,0.21,0.47,3.04,N,No
System437,Planet3,141.53,141.53,0.24,0.74,71.77,N,No
System438,Planet1,350.9,350.9,0.26,0.71,90.38,N,No
System438,Planet2,841.53,841.53,0.16,0.77,-19.39,Y,No
System438,Planet3,1186.55,1186.55,0.17,0.72,81.49,N,No
System439,Planet1,1246.65,1246.65,0.22,0.73,-14.26,N,No
System439,Planet2,763.23,763.23,0.23,0.55,47.19,N,No
System439,Planet3,24.37,24.37,0.29,0.63,58.9,Y,No
System440,Planet1,78.76,78.76,0.24,0.6,77.82,N,No
System440,Planet2,1193.72,1193.72,0.16,0.35,-13.5,Y,No
System440,Planet3,500.42,500.42,0.2,0.7,-9.43,Y,No
System441,Planet1,865.06,865.06,0.26,0.64,77.78,Y,No
System441,Planet2,211.26,211.26,0.15,0.36,34.61,N,No
System441,Planet3,851.56,851.56,0.11,0.74,10.08,N,No
System442,Planet1,862.28,862.28,0.21,0.53,17.13,Y,No
System442,Planet2,914.17,914.17,0.18,0.31,16.01,N,No
System442,Planet3,1488.46,1488.46,0.22,0.62,-4.82,Y,No
System443,Planet1,170.43,170.43,0.21,0.41,61.97,Y,No
System443,Planet2,1007.6,1007.6,0.27,0.74,31.24,N,No
System443,Planet3,42.16,42.16,0.18,0.42,27.1,N,No
System444,Planet1,1234.67,1234.67,0.24,0.79,99.06,Y,No
System444,Planet2,795.02,795.02,0.12,0.66,-6.54,Y,No
System444,Planet3,1395.13,1395.13,0.12,0.37,13.16,Y,No
System445,Planet1,204.71,204.71,0.21,0.8,97.64,Y,No
System445,Planet2,1006.89,1006.89,0.15,0.65,86.44,N,No
System445,Planet3,81.62,81.62,0.21,0.63,75.75,Y,No
System446,Planet1,781.24,781.24,0.18,0.63,0.65,N,No
System446,Planet2,166.44,166.44,0.15,0.4,-1.82,Y,No
System446,Planet3,711.71,711.71,0.18,0.54,-14.32,N,No
System447,Planet1,1057.06,1057.06,0.26,0.77,-21.85,N,No
System447,Planet2,1394.99,1394.99,0.28,0.39,4.82,Y,No
System447,Planet3,1413.49,1413.49,0.19,0.54,71.34,N,No
System448,Planet1,850.53,850.53,0.18,0.64,96.11,N,No
System448,Planet2,487.33,487.33,0.3,0.55,-6.13,Y,No
System448,Planet3,208.75,208.75,0.26,0.73,94.8,Y,No
System449,Planet1,56.99,56.99,0.26,0.62,83.78,N,No
System449,Planet2,551.53,551.53,0.2,0.4,65.92,N,No
System449,Planet3,1048.06,1048.06,0.14,0.6,51.17,N,No
System450,Planet1,151.9,151.9,0.3,0.59,-26.54,N,No
System450,Planet2,1027.9,1027.9,0.26,0.6,-10.71,Y,No
System450,Planet3,1253.43,1253.43,0.11,0.44,63.61,N,No
System451,Planet1,592.55,592.55,0.24,0.56,55.94,N,No
System451,Planet2,1237.36,1237.36,0.29,0.6,-4.54,N,No
System451,Planet3,445.68,445.68,0.1,0.58,60.77,Y,No
System452,Planet1,498.04,498.04,0.17,0.36,74.86,Y,No
System452,Planet2,372.96,372.96,0.11,0.65,77.77,Y,No
System452,Planet3,721.7,721.7,0.24,0.8,47.92,N,No
System453,Planet1,365.32,365.32,0.21,0.76,70.26,Y,No
System453,Planet2,1495.81,1495.81,0.15,0.5,98.39,Y,No
System453,Planet3,191.19,191.19,0.27,0.36,10.01,Y,No
System454,Planet1,1359.4,1359.4,0.28,0.32,-28.97,N,No
System454,Planet2,995.63,995.63,0.18,0.34,-21.63,Y,No
System454,Planet3,450.9,450.9,0.19,0.66,-24.09,N,No
System455,Planet1,616.62,616.62,0.12,0.43,38.27,N,No
System455,Planet2,847.5,847.5,0.14,0.5,19.13,Y,No
System455,Planet3,378.9,378.9,0.23,0.46,20.81,Y,No
System456,Planet1,318.5,318.5,0.23,0.79,95.34,N,No
System456,Planet2,641.5,641.5,0.28,0.49,41.65,Y,No
System456,Planet3,706.93,706.93,0.12,0.44,53.03,N,No
System457,Planet1,788.12,788.12,0.1,0.71,87.24,N,No
System457,Planet2,1196.18,1196.18,0.2,0.61,38.75,Y,No
System457,Planet3,1142.18,1142.18,0.14,0.6,3.79,Y,No
System458,Planet1,1112.34,1112.34,0.14,0.7,14.89,Y,No
System458,Planet2,852.22,852.22,0.29,0.59,36.98,Y,No
System458,Planet3,959.02,959.02,0.27,0.32,-28.66,Y,No
System459,Planet1,1074.24,1074.24,0.14,0.42,-12.92,Y,No
System459,Planet2,52.87,52.87,0.16,0.5,39.21,Y,No
System459,Planet3,237.31,237.31,0.11,0.79,63.28,N,No
System460,Planet1,956.43,956.43,0.11,0.58,28.01,N,No
System460,Planet2,431.24,431.24,0.26,0.53,40.62,N,No
System460,Planet3,1151.18,1151.18,0.13,0.38,-18.09,Y,No
System461,Planet1,1324.33,1324.33,0.27,0.56,65.35,Y,No
System461,Planet2,34.81,34.81,0.23,0.58,97.48,Y,No
System461,Planet3,905.39,905.39,0.29,0.79,96.46,Y,No
System462,Planet1,1450.85,1450.85,0.14,0.44,89.79,Y,No
System462,Planet2,717.29,717.29,0.24,0.57,-7.84,Y,No
System462,Planet3,28.1,28.1,0.17,0.5,-15.52,N,No
System463,Planet1,884.34,884.34,0.22,0.69,9.89,Y,No
System463,Planet2,254.86,254.86,0.23,0.49,88.82,N,No
System463,Planet3,1332.26,1332.26,0.11,0.32,90.13,Y,No
System464,Planet1,1395.94,1395.94,0.19,0.66,37.05,Y,No
System464,Planet2,1174.21,1174.21,0.23,0.61,69.06,Y,No
System464,Planet3,1296.91,1296.91,0.28,0.38,-15.95,N,No
System465,Planet1,1043.63,1043.63,0.17,0.48,-5.19,Y,No
System465,Planet2,328.87,328.87,0.22,0.39,-6.35,N,No
System465,Planet3,1431.2,1431.2,0.28,0.55,93.15,Y,No
System466,Planet1,68.86,68.86,0.12,0.59,40.72,N,No
System466,Planet2,781.58,781.58,0.16,0.59,28.63,Y,No
System466,Planet3,1114.65,1114.65,0.19,0.57,19.6,Y,No
System467,Planet1,866.85,866.85,0.19,0.74,5.1,Y,No
System467,Planet2,4.02,4.02,0.21,0.51,73.96,Y,No
System467,Planet3,47.95,47.95,0.3,0.76,99.98,N,No
System468,Planet1,324.62,324.62,0.24,0.65,95.04,N,No
System468,Planet2,679.73,679.73,0.14,0.73,-10.26,N,No
System468,Planet3,263.91,263.91,0.23,0.44,53.86,Y,No
System469,Planet1,421.11,421.11,0.24,0.44,57.37,Y,No
System469,Planet2,594.64,594.64,0.19,0.43,-11.11,Y,No
System469,Planet3,221.57,221.57,0.18,0.6,19.27,Y,No
System470,Planet1,743.04,743.04,0.18,0.72,27.7,N,No
System470,Planet2,722.73,722.73,0.22,0.76,70.11,N,No
System470,Planet3,582.72,582.72,0.12,0.45,76.97,Y,No
System471,Planet1,764.77,764.77,0.28,0.63,36.03,N,No
System471,Planet2,911.2,911.2,0.26,0.53,3.74,N,No
System471,Planet3,880.59,880.59,0.25,0.64,95.3,N,No
System472,Planet1,517.36,517.36,0.26,0.32,53.24,N,No
System472,Planet2,1112.46,1112.46,0.25,0.46,16.81,N,No
System472,Planet3,371.05,371.05,0.14,0.52,25.18,N,No
System473,Planet1,950.8,950.8,0.2,0.58,15.64,N,No
System473,Planet2,459.36,459.36,0.2,0.45,48.88,Y,No
System473,Planet3,1258.72,1258.72,0.13,0.72,32.32,Y,No
System474,Planet1,1429.58,1429.58,0.15,0.4,22.66,N,No
System474,Planet2,576.36,576.36,0.11,0.32,-10.13,N,No
System474,Planet3,1117.02,1117.02,0.18,0.7,-21.09,Y,No
System475,Planet1,397.23,397.23,0.18,0.43,79.91,N,No
System475,Planet2,1370.34,1370.34,0.12,0.46,85.27,Y,No
System475,Planet3,537.65,537.65,0.25,0.33,-17.69,N,No
System476,Planet1,83.82,83.82,0.25,0.34,86.31,N,No
System476,Planet2,102.64,102.64,0.18,0.41,93.37,N,No
System476,Planet3,924.19,924.19,0.12,0.53,29.88,N,No
System477,Planet1,1154.78,1154.78,0.24,0.68,22.44,Y,No
System477,Planet2,1401.57,1401.57,0.27,0.51,92.97,N,No
System477,Planet3,932.07,932.07,0.26,0.69,65.77,N,No
System478,Planet1,1032.6,1032.6,0.23,0.37,-28.95,Y,No
System478,Planet2,1489.43,1489.43,0.17,0.45,98.7,Y,No
System478,Planet3,272.14,272.14,0.28,0.58,4.92,N,No
System479,Planet1,419.42,419.42,0.27,0.64,94.61,N,No
System479,Planet2,1458.04,1458.04,0.11,0.35,-4.06,N,No
System479,Planet3,1156.02,1156.02,0.19,0.77,-14.54,N,No
System480,Planet1,1376.0,1376.0,0.19,0.33,65.61,N,No
System480,Planet2,584.19,584.19,0.23,0.74,64.89,Y,No
System480,Planet3,768.35,768.35,0.23,0.59,52.33,Y,No
System481,Planet1,1043.67,1043.67,0.2,0.37,91.02,N,No
System481,Planet2,515.06,515.06,0.24,0.58,71.57,N,No
System481,Planet3,1467.19,1467.19,0.12,0.33,27.96,N,No
System482,Planet1,956.59,956.59,0.22,0.39,54.8,N,No
System482,Planet2,782.2,782.2,0.14,0.46,-7.34,N,No
System482,Planet3,1335.3,1335.3,0.28,0.53,-15.6,N,No
System483,Planet1,622.25,622.25,0.21,0.75,32.95,N,No
System483,Planet2,1042.1,1042.1,0.24,0.63,94.29,Y,No
System483,Planet3,844.45,844.45,0.28,0.4,27.17,N,No
System484,Planet1,185.69,185.69,0.11,0.47,-17.77,Y,No
System484,Planet2,874.02,874.02,0.25,0.64,44.59,N,No
System484,Planet3,577.06,577.06,0.28,0.33,-6.12,N,No
System485,Planet1,986.61,986.61,0.16,0.42,91.45,N,No
System485,Planet2,620.4,620.4,0.13,0.52,74.56,Y,No
System485,Planet3,1357.13,1357.13,0.12,0.72,21.78,N,No
System486,Planet1,22.31,22.31,0.2,0.44,-8.75,Y,No
System486,Planet2,198.46,198.46,0.23,0.49,60.27,N,No
System486,Planet3,92.99,92.99,0.11,0.69,78.53,N,No
System487,Planet1,728.46,728.46,0.26,0.34,70.59,N,No
System487,Planet2,873.76,873.76,0.11,0.52,15.52,N,No
System487,Planet3,309.34,309.34,0.3,0.76,12.08,N,No
System488,Planet1,218.12,218.12,0.18,0.36,15.98,N,No
System488,Planet2,1097.66,1097.66,0.27,0.58,18.84,N,No
System488,Planet3,325.77,325.77,0.15,0.37,18.83,N,No
System489,Planet1,501.76,501.76,0.16,0.65,62.29,Y,No
System489,Planet2,249.61,249.61,0.24,0.71,2.06,Y,No
System489,Planet3,1179.98,1179.98,0.17,0.73,-20.21,Y,No
System490,Planet1,1074.05,1074.05,0.28,0.69,83.83,N,No
System490,Planet2,1366.62,1366.62,0.27,0.74,85.56,N,No
System490,Planet3,925.69,925.69,0.2,0.66,-27.18,Y,No
System491,Planet1,736.93,736.93,0.29,0.63,22.06,Y,No
System491,Planet2,176.93,176.93,0.15,0.74,50.92,Y,No
System491,Planet3,345.28,345.28,0.13,0.39,46.26,N,No
System492,Planet1,110.33,110.33,0.24,0.39,65.57,Y,No
System492,Planet2,906.84,906.84,0.24,0.61,10.4,Y,No
System492,Planet3,876.65,876.65,0.24,0.4,-10.43,Y,No
System493,Planet1,419.06,419.06,0.22,0.47,55.62,N,No
System493,Planet2,921.5,921.5,0.11,0.48,90.93,N,No
System493,Planet3,639.21,639.21,0.26,0.64,49.14,N,No
System494,Planet1,618.68,618.68,0.23,0.31,26.87,Y,No
System494,Planet2,1205.22,1205.22,0.22,0.68,-20.48,N,No
System494,Planet3,951.81,951.81,0.15,0.32,-17.69,N,No
System495,Planet1,214.7,214.7,0.16,0.31,50.83,N,No
System495,Planet2,1091.72,1091.72,0.13,0.51,73.35,Y,No
System495,Planet3,1192.97,1192.97,0.19,0.56,6.19,Y,No
System496,Planet1,357.46,357.46,0.18,0.65,33.63,N,No
System496,Planet2,1449.59,1449.59,0.21,0.38,-4.54,Y,No
System496,Planet3,1240.3,1240.3,0.18,0.73,63.47,Y,No
System497,Planet1,1385.66,1385.66,0.18,0.32,1.74,N,No
System497,Planet2,83.78,83.78,0.27,0.56,22.46,Y,No
System497,Planet3,95.65,95.65,0.19,0.72,93.87,Y,No
System498,Planet1,274.53,274.53,0.24,0.78,62.98,N,No
System498,Planet2,1475.8,1475.8,0.14,0.51,-20.07,N,No
System498,Planet3,241.82,241.82,0.18,0.73,33.06,N,No
System499,Planet1,941.31,941.31,0.17,0.42,64.17,N,No
System499,Planet2,1120.83,1120.83,0.22,0.59,29.76,Y,No
System499,Planet3,516.36,516.36,0.16,0.74,27.77,N,No
System500,Planet1,816.02,816.02,0.22,0.41,85.61,N,No
System500,Planet2,1479.04,1479.04,0.18,0.7,5.24,Y,No
System500,Planet3,745.34,745.34,0.27,0.67,55.92,N,No
System501,Planet1,320.65,320.65,0.27,0.37,-28.69,Y,No
System501,Planet2,1493.82,1493.82,0.19,0.3,7.43,Y,No
System501,Planet3,652.85,652.85,0.29,0.55,-9.01,Y,No
System502,Planet1,263.07,263.07,0.15,0.55,17.93,Y,No
System502,Planet2,399.28,399.28,0.17,0.49,25.04,N,No
System502,Planet3,235.23,235.23,0.14,0.72,6.14,N,No
System503,Planet1,1268.99,1268.99,0.24,0.71,1.8,Y,No
System503,Planet2,506.8,506.8,0.15,0.62,-23.82,N,No
System503,Planet3,266.99,266.99,0.25,0.39,64.65,Y,No
System504,Planet1,661.58,661.58,0.15,0.65,-18.32,Y,No
System504,Planet2,271.29,271.29,0.14,0.55,48.92,N,No
System504,Planet3,428.8,428.8,0.16,0.56,49.04,Y,No
System505,Planet1,910.95,910.95,0.27,0.52,34.25,N,No
System505,Planet2,1079.07,1079.07,0.25,0.61,21.91,N,No
System505,Planet3,1088.53,1088.53,0.24,0.37,23.9,N,No
System506,Planet1,482.13,482.13,0.21,0.75,-28.64,N,No
System506,Planet2,1063.37,1063.37,0.28,0.43,48.25,Y,No
System506,Planet3,797.54,797.54,0.23,0.68,86.47,N,No
System507,Planet1,1480.26,1480.26,0.12,0.69,-10.28,Y,No
System507,Planet2,935.86,935.86,0.21,0.66,33.73,N,No
System507,Planet3,852.16,852.16,0.13,0.5,79.94,Y,No
System508,Planet1,1103.24,1103.24,0.28,0.44,46.05,N,No
System508,Planet2,492.23,492.23,0.1,0.44,75.63,N,No
System508,Planet3,1238.1,1238.1,0.15,0.35,-27.51,N,No
System509,Planet1,600.1,600.1,0.19,0.44,34.72,N,No
System509,Planet2,1497.76,1497.76,0.23,0.69,3.5,Y,No
System509,Planet3,1071.56,1071.56,0.11,0.36,77.81,Y,No
System510,Planet1,795.51,795.51,0.23,0.69,53.54,N,No
System510,Planet2,187.39,187.39,0.27,0.31,-29.82,Y,No
System510,Planet3,1127.74,1127.74,0.21,0.52,34.09,N,No
System511,Planet1,365.65,365.65,0.24,0.31,55.83,N,No
System511,Planet2,697.83,697.83,0.15,0.74,4.15,Y,No
System511,Planet3,1113.18,1113.18,0.13,0.69,43.41,Y,No
System512,Planet1,948.12,948.12,0.17,0.53,78.1,Y,No
System512,Planet2,955.14,955.14,0.13,0.32,75.17,Y,No
System512,Planet3,766.62,766.62,0.23,0.61,-8.4,N,No
System513,Planet1,1167.57,1167.57,0.1,0.68,63.01,Y,No
System513,Planet2,39.33,39.33,0.17,0.41,10.94,Y,No
System513,Planet3,744.8,744.8,0.13,0.62,-23.19,Y,No
System514,Planet1,1143.44,1143.44,0.28,0.43,27.93,N,No
System514,Planet2,1314.99,1314.99,0.25,0.31,86.9,Y,No
System514,Planet3,718.73,718.73,0.21,0.62,29.15,N,No
System515,Planet1,429.27,429.27,0.15,0.53,72.94,N,No
System515,Planet2,1137.87,1137.87,0.15,0.6,92.76,Y,No
System515,Planet3,1487.78,1487.78,0.12,0.76,66.93,N,No
System516,Planet1,790.67,790.67,0.22,0.74,44.31,N,No
System516,Planet2,162.86,162.86,0.17,0.78,80.65,N,No
System516,Planet3,74.91,74.91,0.23,0.56,-3.72,Y,No
System517,Planet1,1367.34,1367.34,0.19,0.76,74.76,N,No
System517,Planet2,794.47,794.47,0.24,0.59,14.34,N,No
System517,Planet3,459.99,459.99,0.17,0.38,13.92,Y,No
System518,Planet1,124.79,124.79,0.14,0.39,-13.37,N,No
System518,Planet2,379.97,379.97,0.11,0.41,41.48,Y,No
System518,Planet3,834.77,834.77,0.21,0.78,73.66,N,No
System519,Planet1,1252.17,1252.17,0.27,0.69,61.79,Y,No
System519,Planet2,1237.24,1237.24,0.2,0.58,-17.42,N,No
System519,Planet3,1289.48,1289.48,0.3,0.72,85.77,Y,No
System520,Planet1,973.96,973.96,0.16,0.71,-16.5,Y,No
System520,Planet2,1423.22,1423.22,0.1,0.73,-7.66,Y,No
System520,Planet3,461.47,461.47,0.27,0.5,42.26,Y,No
System521,Planet1,403.7,403.7,0.27,0.67,28.17,N,No
System521,Planet2,1298.34,1298.34,0.29,0.58,-28.45,N,No
System521,Planet3,1372.78,1372.78,0.12,0.37,-12.62,Y,No
System522,Planet1,642.8,642.8,0.22,0.42,87.86,Y,No
System522,Planet2,399.86,399.86,0.23,0.79,66.1,N,No
System522,Planet3,687.16,687.16,0.12,0.78,30.23,N,No
System523,Planet1,656.13,656.13,0.22,0.65,21.47,Y,No
System523,Planet2,191.4,191.4,0.2,0.39,14.54,Y,No
System523,Planet3,777.24,777.24,0.16,0.47,5.58,Y,No
System524,Planet1,149.07,149.07,0.11,0.73,57.74,N,No
System524,Planet2,320.12,320.12,0.21,0.74,64.41,N,No
System524,Planet3,1097.41,1097.41,0.25,0.42,-1.18,N,No
System525,Planet1,738.85,738.85,0.22,0.71,55.95,Y,No
System525,Planet2,183.26,183.26,0.16,0.67,59.22,Y,No
System525,Planet3,1089.45,1089.45,0.29,0.72,76.29,N,No
System526,Planet1,1282.98,1282.98,0.24,0.59,2.52,Y,No
System526,Planet2,1183.75,1183.75,0.18,0.68,12.95,Y,No
System526,Planet3,1391.94,1391.94,0.25,0.4,82.65,N,No
System527,Planet1,1050.01,1050.01,0.24,0.74,74.38,Y,No
System527,Planet2,785.47,785.47,0.2,0.69,21.11,N,No
System527,Planet3,617.83,617.83,0.12,0.72,30.81,Y,No
System528,Planet1,70.56,70.56,0.2,0.43,-28.02,Y,No
System528,Planet2,1101.69,1101.69,0.2,0.38,8.17,N,No
System528,Planet3,1347.03,1347.03,0.21,0.71,-4.82,Y,No
System529,Planet1,182.46,182.46,0.1,0.69,0.42,N,No
System529,Planet2,493.18,493.18,0.3,0.5,-1.08,Y,No
System529,Planet3,965.15,965.15,0.1,0.78,77.71,Y,No
System530,Planet1,724.28,724.28,0.11,0.58,93.98,Y,No
System530,Planet2,437.52,437.52,0.23,0.69,76.47,Y,No
System530,Planet3,900.82,900.82,0.24,0.3,68.35,N,No
System531,Planet1,590.42,590.42,0.27,0.47,87.67,N,No
System531,Planet2,315.72,315.72,0.24,0.38,36.79,N,No
System531,Planet3,1469.89,1469.89,0.18,0.38,-24.65,Y,No
System532,Planet1,711.11,711.11,0.12,0.46,5.76,N,No
System532,Planet2,6.98,6.98,0.16,0.37,5.39,N,No
System532,Planet3,28.25,28.25,0.18,0.66,82.37,Y,No
System533,Planet1,1278.86,1278.86,0.19,0.77,49.89,N,No
System533,Planet2,612.01,612.01,0.25,0.58,-25.98,N,No
System533,Planet3,733.73,733.73,0.23,0.63,47.6,Y,No
System534,Planet1,781.98,781.98,0.15,0.75,67.35,Y,No
System534,Planet2,394.8,394.8,0.19,0.49,92.6,N,No
System534,Planet3,957.74,957.74,0.19,0.56,25.1,Y,No
System535,Planet1,324.49,324.49,0.22,0.71,-24.78,Y,No
System535,Planet2,842.19,842.19,0.18,0.78,31.47,Y,No
System535,Planet3,429.27,429.27,0.25,0.65,74.72,Y,No
System536,Planet1,467.13,467.13,0.18,0.76,93.19,N,No
System536,Planet2,710.99,710.99,0.24,0.78,74.45,Y,No
System536,Planet3,684.7,684.7,0.19,0.35,81.02,Y,No
System537,Planet1,1430.32,1430.32,0.29,0.49,12.3,Y,No
System537,Planet2,357.15,357.15,0.25,0.78,79.99,N,No
System537,Planet3,1472.32,1472.32,0.1,0.7,69.58,Y,No
System538,Planet1,447.31,447.31,0.27,0.4,-0.65,Y,No
System538,Planet2,1440.7,1440.7,0.22,0.36,41.9,Y,No
System538,Planet3,317.82,317.82,0.11,0.49,74.3,N,No
System539,Planet1,1235.81,1235.81,0.2,0.32,-6.58,N,No
System539,Planet2,823.12,823.12,0.17,0.75,-22.74,N,No
System539,Planet3,977.72,977.72,0.2,0.42,56.23,Y,No
System540,Planet1,301.84,301.84,0.25,0.66,79.78,Y,No
System540,Planet2,1177.51,1177.51,0.25,0.7,-0.99,N,No
System540,Planet3,561.13,561.13,0.25,0.72,-13.94,N,No
System541,Planet1,1263.28,1263.28,0.16,0.32,18.4,Y,No
System541,Planet2,100.34,100.34,0.18,0.72,61.96,N,No
System541,Planet3,1474.17,1474.17,0.18,0.57,51.26,N,No
System542,Planet1,871.69,871.69,0.14,0.52,53.34,N,No
System542,Planet2,402.16,402.16,0.21,0.56,92.7,N,No
System542,Planet3,413.34,413.34,0.25,0.66,63.48,Y,No
System543,Planet1,943.14,943.14,0.15,0.77,75.88,Y,No
System543,Planet2,79.34,79.34,0.22,0.33,89.12,Y,No
System543,Planet3,539.33,539.33,0.23,0.36,36.99,Y,No
System544,Planet1,247.52,247.52,0.21,0.59,19.72,Y,No
System544,Planet2,1051.1,1051.1,0.17,0.76,50.44,N,No
System544,Planet3,1193.93,1193.93,0.23,0.36,-18.0,Y,No
System545,Planet1,681.02,681.02,0.28,0.66,-3.78,Y,No
System545,Planet2,221.68,221.68,0.13,0.52,-17.72,Y,No
System545,Planet3,431.04,431.04,0.21,0.46,-24.47,N,No
System546,Planet1,1365.0,1365.0,0.13,0.6,22.75,Y,No
System546,Planet2,723.37,723.37,0.11,0.75,-27.41,N,No
System546,Planet3,1118.95,1118.95,0.28,0.8,18.38,N,No
System547,Planet1,652.27,652.27,0.24,0.45,22.79,N,No
System547,Planet2,964.68,964.68,0.29,0.68,-1.03,Y,No
System547,Planet3,257.76,257.76,0.28,0.61,72.28,N,No
System548,Planet1,898.27,898.27,0.13,0.35,8.12,Y,No
System548,Planet2,729.08,729.08,0.18,0.47,-16.91,Y,No
System548,Planet3,383.52,383.52,0.26,0.58,68.7,N,No
System549,Planet1,206.63,206.63,0.11,0.46,80.97,Y,No
System549,Planet2,192.08,192.08,0.22,0.74,-7.5,Y,No
System549,Planet3,1060.02,1060.02,0.11,0.44,99.34,Y,No
System550,Planet1,17.22,17.22,0.11,0.55,-10.42,N,No
System550,Planet2,364.0,364.0,0.24,0.68,96.85,Y,No
System550,Planet3,496.47,496.47,0.3,0.66,99.58,N,No
System551,Planet1,1128.27,1128.27,0.14,0.47,-27.54,N,No
System551,Planet2,606.6,606.6,0.15,0.43,53.09,N,No
System551,Planet3,43.75,43.75,0.19,0.77,31.62,N,No
System552,Planet1,917.64,917.64,0.22,0.53,50.1,N,No
System552,Planet2,35.4,35.4,0.18,0.55,-11.53,Y,No
System552,Planet3,25.39,25.39,0.25,0.61,-27.42,Y,No
System553,Planet1,853.42,853.42,0.23,0.67,-10.51,N,No
System553,Planet2,92.12,92.12,0.24,0.77,14.55,Y,No
System553,Planet3,1271.93,1271.93,0.18,0.74,-12.83,N,No
System554,Planet1,1130.05,1130.05,0.28,0.5,-28.19,Y,No
System554,Planet2,27.59,27.59,0.15,0.63,22.5,Y,No
System554,Planet3,1059.59,1059.59,0.11,0.64,84.19,Y,No
System555,Planet1,911.74,911.74,0.23,0.74,32.93,Y,No
